id;Linkin Nimi;Linkin Kuvaus;UniqueNimi;Kieli;Url;KieliNimi
267;Avioliiton solmiminen;Vantaa;Ing�ende av �ktenskap;sv;https://dvv.fi/sv/vigsel;Ruotsi
267;Avioliiton solmiminen;Vantaa;Nik�h;tr;;Turkki
267;Avioliiton solmiminen;Vantaa;??;zh;;Kiina
268;Yhteystiedot;testi;??????? ???????;ar;;Arabi
268;Yhteystiedot;testi;Contact information;en;https://dvv.fi/en/contact;Englanti
268;Yhteystiedot;testi;Datos de contacto;es;;Espanja
268;Yhteystiedot;testi;Kontaktandmed;et;;Eesti
268;Yhteystiedot;testi;??????? ????;fa;;Persia
268;Yhteystiedot;testi;Coordonn�es;fr;;Ranska
268;Yhteystiedot;testi;?????????? ??????????;ru;;Ven�j�
268;Yhteystiedot;testi;Macluumaadyda xiriirka ;so;;Somali
268;Yhteystiedot;testi;Kontaktuppgifter;sv;https://dvv.fi/sv/kontakt;Ruotsi
268;Yhteystiedot;testi;?leti?im bilgileri;tr;;Turkki
268;Yhteystiedot;testi;????;zh;;Kiina
271;Parisuhteen rekister�iminen;testi;????? ????? ??????? ;ar;;Arabi
271;Parisuhteen rekister�iminen;testi;Registering a partnership;en;https://dvv.fi/en/marriage;Englanti
271;Parisuhteen rekister�iminen;testi;Registro de parejas de hecho;es;;Espanja
271;Parisuhteen rekister�iminen;testi;Kooselu registreerimine;et;;Eesti
271;Parisuhteen rekister�iminen;testi;?? ??? ??????? ????? ???????;fa;;Persia
271;Parisuhteen rekister�iminen;testi;Enregistrement d'une relation de concubinage;fr;;Ranska
271;Parisuhteen rekister�iminen;testi;??????????? ?????? ?????????;ru;;Ven�j�
271;Parisuhteen rekister�iminen;testi;Diiwaangelinta xiriirka lamaanaha;so;;Somali
271;Parisuhteen rekister�iminen;testi;Registrering av parf�rh�llande;sv;https://dvv.fi/sv/aktenskap;Ruotsi
271;Parisuhteen rekister�iminen;testi;E?cinsel ili?kinin tescil edilmesi;tr;;Turkki
271;Parisuhteen rekister�iminen;testi;????????;zh;;Kiina
274;Synnytyssairaaloiden p�ivystys;testi;?????? ??????? ????????? ???????;ar;;Arabi
274;Synnytyssairaaloiden p�ivystys;testi;Maternity hospitals' emergency services;en;http://www.hus.fi/default.asp?path=59,403,5831,6172,6027,31838,31841,31842;Englanti
274;Synnytyssairaaloiden p�ivystys;testi;Servicio de guardia de las maternidades;es;;Espanja
274;Synnytyssairaaloiden p�ivystys;testi;S�nnitushaiglate valveosakonnad;et;;Eesti
274;Synnytyssairaaloiden p�ivystys;testi;??? ???? ???????????? ??????;fa;;Persia
274;Synnytyssairaaloiden p�ivystys;testi;Service de garde des h�pitaux d'accouchement;fr;;Ranska
274;Synnytyssairaaloiden p�ivystys;testi;???????? ????????? ????????? ?????;ru;;Ven�j�
274;Synnytyssairaaloiden p�ivystys;testi;Heeganka cusbitaalaadka dhalmada;so;;Somali
274;Synnytyssairaaloiden p�ivystys;testi;F�rlossningssjukhusens jourmottagning;sv;http://www.hus.fi/default.asp?path=58,374,2124,4059,4638,32111,32113,32114;Ruotsi
274;Synnytyssairaaloiden p�ivystys;testi;Do?um hastaneleri n�bet�ilikleri;tr;;Turkki
274;Synnytyssairaaloiden p�ivystys;testi;???????;zh;;Kiina
275;Synnytyssairaaloiden yhteystiedot;testi;??????? ??????? ????????? ???????;ar;;Arabi
275;Synnytyssairaaloiden yhteystiedot;testi;Contact information for maternity hospitals;en;http://www.hus.fi/default.asp?path=59,403,5831,6172;Englanti
275;Synnytyssairaaloiden yhteystiedot;testi;Datos de contacto de las maternidades;es;;Espanja
275;Synnytyssairaaloiden yhteystiedot;testi;S�nnitushaiglate kontaktandmed;et;;Eesti
275;Synnytyssairaaloiden yhteystiedot;testi;??????? ???? ???????????? ??????;fa;;Persia
275;Synnytyssairaaloiden yhteystiedot;testi;Coordonn�es des h�pitaux d'accouchement;fr;;Ranska
275;Synnytyssairaaloiden yhteystiedot;testi;?????????? ?????????? ????????? ?????;ru;;Ven�j�
275;Synnytyssairaaloiden yhteystiedot;testi;Macluumaadyda xiriirka ee cusbitaalada dhalmada;so;;Somali
275;Synnytyssairaaloiden yhteystiedot;testi;F�rlossningssjukhusens kontaktuppgifter;sv;http://www.hus.fi/default.asp?path=58,374,2124;Ruotsi
275;Synnytyssairaaloiden yhteystiedot;testi;Do?um hastanelerinin ileti?im bilgileri;tr;;Turkki
275;Synnytyssairaaloiden yhteystiedot;testi;????;zh;;Kiina
276;Lapsiperheiden tuet;testi;????? ???????? ??? ???????;ar;;Arabi
276;Lapsiperheiden tuet;testi;Benefits for families with children;en;https://www.kela.fi/web/en/families;Englanti
276;Lapsiperheiden tuet;testi;Subsidios para las familias con hijos;es;;Espanja
276;Lapsiperheiden tuet;testi;Lastega perekondade toetused;et;;Eesti
276;Lapsiperheiden tuet;testi;??? ??? ????? ??????? ??? ????? ?????;fa;;Persia
276;Lapsiperheiden tuet;testi;Aides pour les familles;fr;;Ranska
276;Lapsiperheiden tuet;testi;??????? ??? ????? ? ??????;ru;;Ven�j�
276;Lapsiperheiden tuet;testi;Kaalmooyinika qoyska carruurta leh;so;;Somali
276;Lapsiperheiden tuet;testi;Bidrag f�r barnfamiljer;sv;https://www.kela.fi/web/sv/barnfamiljer;Ruotsi
276;Lapsiperheiden tuet;testi;�ocuklu aile destekleri;tr;;Turkki
276;Lapsiperheiden tuet;testi;??????;zh;;Kiina
278;Asiointi verkossa;testi;??????? ?? ???? ?????? ?????????? ????????;ar;;Arabi
278;Asiointi verkossa;testi;Online services;en;;Englanti
278;Asiointi verkossa;testi;Tr�mites electr�nicos;es;;Espanja
278;Asiointi verkossa;testi;Asjaajamine internetikeskkonnas;et;;Eesti
278;Asiointi verkossa;testi;?????? ?? ???? ????? ?? ???????;fa;;Persia
278;Asiointi verkossa;testi;G�rer ses affaires en ligne;fr;;Ranska
278;Asiointi verkossa;testi;??????? ??? ? ?????????;ru;;Ven�j�
278;Asiointi verkossa;testi;Arrimo ku sameysashada shabakadda ;so;;Somali
278;Asiointi verkossa;testi;Sk�ta �renden p� Internet;sv;https://www.kela.fi/web/sv/mittfpa;Ruotsi
278;Asiointi verkossa;testi;?nternet a?�nda yap�lan i?lemler;tr;;Turkki
278;Asiointi verkossa;testi;????;zh;;Kiina
281;Kriisikeskus netiss�;testi;???? ??????? ??? ?????? ??????????;ar;;Arabi
281;Kriisikeskus netiss�;testi;Crisis Centre online;en;;Englanti
281;Kriisikeskus netiss�;testi;Centro de crisis en red;es;;Espanja
281;Kriisikeskus netiss�;testi;Kriisikeskus veebis;et;;Eesti
281;Kriisikeskus netiss�;testi;???? ?????? ?? ????? ?????? ?? ???????;fa;;Persia
281;Kriisikeskus netiss�;testi;Centre de crises en ligne;fr;;Ranska
281;Kriisikeskus netiss�;testi;????????? ????? ? ?????????;ru;;Ven�j�
281;Kriisikeskus netiss�;testi;Xarunta xaaladaha dhibaatada ee internetka;so;;Somali
281;Kriisikeskus netiss�;testi;Kriscentral p� n�tet;sv;;Ruotsi
281;Kriisikeskus netiss�;testi;?nternette Kriz Merkezi;tr;;Turkki
281;Kriisikeskus netiss�;testi;????????;zh;;Kiina
288;Asunnon vuokraaminen;Asuminen ;????? ??????;ar;;Arabi
288;Asunnon vuokraaminen;Asuminen ;Renting housing;en;https://www.kkv.fi/en/;Englanti
288;Asunnon vuokraaminen;Asuminen ;Alquilar una vivienda;es;;Espanja
288;Asunnon vuokraaminen;Asuminen ;Korteri ��rimine;et;;Eesti
288;Asunnon vuokraaminen;Asuminen ;????? ???? ????;fa;;Persia
288;Asunnon vuokraaminen;Asuminen ;Louer un logement;fr;;Ranska
288;Asunnon vuokraaminen;Asuminen ;?????? ????????;ru;;Ven�j�
288;Asunnon vuokraaminen;Asuminen ;Kireysashada guri;so;;Somali
288;Asunnon vuokraaminen;Asuminen ;Att hyra en bostad;sv;https://www.kkv.fi/sv/konsumentarenden/boende/;Ruotsi
288;Asunnon vuokraaminen;Asuminen ;Konut kiralama;tr;;Turkki
288;Asunnon vuokraaminen;Asuminen ;????;zh;;Kiina
294;Tietoa kielilaista;Suomen ja ruotsin kieli;??????? ?? ????? ?????;ar;;Arabi
294;Tietoa kielilaista;Suomen ja ruotsin kieli;Information about the Language Act;en;https://oikeusministerio.fi/en/linguistic-rights;Englanti
294;Tietoa kielilaista;Suomen ja ruotsin kieli;Informaci�n sobre la Ley de Idiomas;es;;Espanja
294;Tietoa kielilaista;Suomen ja ruotsin kieli;Teavet keeleseaduse kohta;et;;Eesti
294;Tietoa kielilaista;Suomen ja ruotsin kieli;????????? ?????? ?????? ????? ?? ????;fa;;Persia
294;Tietoa kielilaista;Suomen ja ruotsin kieli;Informations concernant la loi sur les langues;fr;;Ranska
294;Tietoa kielilaista;Suomen ja ruotsin kieli;?????????? ? ??????;ru;;Ven�j�
294;Tietoa kielilaista;Suomen ja ruotsin kieli;Macluumaad ku saabsan Sharciga Luqada;so;;Somali
294;Tietoa kielilaista;Suomen ja ruotsin kieli;Information om spr�klagen;sv;https://oikeusministerio.fi/sv/sprakliga-rattigheter;Ruotsi
294;Tietoa kielilaista;Suomen ja ruotsin kieli;Dil Yasas� hakk�nda bilgiler;tr;;Turkki
294;Tietoa kielilaista;Suomen ja ruotsin kieli;?????;zh;;Kiina
296;Suomen perustuslaki;Asettuminen Suomeen;??????? ?????? ????????;ar;;Arabi
296;Suomen perustuslaki;Asettuminen Suomeen;Constitution of Finland;en;https://oikeusministerio.fi/en/constitution-of-finland;Englanti
296;Suomen perustuslaki;Asettuminen Suomeen;La Constituci�n finlandesa;es;;Espanja
296;Suomen perustuslaki;Asettuminen Suomeen;Soome p�hiseadus;et;;Eesti
296;Suomen perustuslaki;Asettuminen Suomeen;????? ????? ??????;fa;;Persia
296;Suomen perustuslaki;Asettuminen Suomeen;Constitution de la Finlande;fr;;Ranska
296;Suomen perustuslaki;Asettuminen Suomeen;??????????? ?????????;ru;;Ven�j�
296;Suomen perustuslaki;Asettuminen Suomeen;Dastuurka Finland;so;;Somali
296;Suomen perustuslaki;Asettuminen Suomeen;Finlands grundlag;sv;https://oikeusministerio.fi/sv/grundlagen;Ruotsi
296;Suomen perustuslaki;Asettuminen Suomeen;Finlandiya Anayasas�;tr;;Turkki
296;Suomen perustuslaki;Asettuminen Suomeen;????;zh;;Kiina
298;Tietoa demokratiasta Suomessa;Asettuminen Suomeen;??????? ?? ??????????? ?? ??????;ar;;Arabi
298;Tietoa demokratiasta Suomessa;Asettuminen Suomeen;Information on democracy in Finland;en;https://oikeusministerio.fi/en/democracy-and-participation;Englanti
298;Tietoa demokratiasta Suomessa;Asettuminen Suomeen;Informaci�n sobre la democracia en Finlandia;es;;Espanja
298;Tietoa demokratiasta Suomessa;Asettuminen Suomeen;Teavet demokraatia kohta Soomes;et;;Eesti
298;Tietoa demokratiasta Suomessa;Asettuminen Suomeen;???????? ?????? ??????? ?? ??????;fa;;Persia
298;Tietoa demokratiasta Suomessa;Asettuminen Suomeen;Informations sur la d�mocratie en Finlande;fr;;Ranska
298;Tietoa demokratiasta Suomessa;Asettuminen Suomeen;?????????? ? ?????????? ? ?????????;ru;;Ven�j�
298;Tietoa demokratiasta Suomessa;Asettuminen Suomeen;Macluumaad ku saabsan dimuquraadiyadda Finland;so;;Somali
298;Tietoa demokratiasta Suomessa;Asettuminen Suomeen;Information om demokratin i Finland;sv;https://oikeusministerio.fi/sv/demokrati-och-deltagande;Ruotsi
298;Tietoa demokratiasta Suomessa;Asettuminen Suomeen;Finlandiya'da demokrasi;tr;;Turkki
298;Tietoa demokratiasta Suomessa;Asettuminen Suomeen;?????;zh;;Kiina
299;Suomeen ty�h�n -esite;Muutto Suomeen;????? ????? ??? ??????;ar;;Arabi
299;Suomeen ty�h�n -esite;Muutto Suomeen;Working in Finland guide;en;https://www.te-palvelut.fi/documents/43002293/43009923/work_in_finland_-_guide_for_employees_and_entrepreneurs_interested_in_finland_112014_pdf.pdf/a8e245ba-d705-14f2-2018-41bb39a2aa69?t=1616532756693;Englanti
299;Suomeen ty�h�n -esite;Muutto Suomeen;Prospecto Trabajar en Finlandia;es;https://www.te-palvelut.fi/documents/43002293/43009923/para_trabajar_en_finlandia_-_gu%C3%ADa_para_trabajadores_y_emprendedores_interesados_en_finlandia_112014_pdf.pdf/a22e781d-15d1-346f-4078-55385d1354f8?t=1616532757645;Espanja
299;Suomeen ty�h�n -esite;Muutto Suomeen;Buklett Soome t��le;et;https://www.te-palvelut.fi/documents/43002293/43009923/soome_t%C3%B6%C3%B6le_-_juhend_soomest_huvitatud_t%C3%B6%C3%B6tajatele_ja_ettev%C3%B5tjatele_112014_pdf.pdf/74d7353e-737f-889b-f52e-a544ec793805?t=1616532757449;Eesti
299;Suomeen ty�h�n -esite;Muutto Suomeen;?????? - ?????? ?? ??????;fa;;Persia
299;Suomeen ty�h�n -esite;Muutto Suomeen;Brochure Venir travailler en Finlande;fr;;Ranska
299;Suomeen ty�h�n -esite;Muutto Suomeen;"??????? ""? ????????? ?? ??????""";ru;;Ven�j�
299;Suomeen ty�h�n -esite;Muutto Suomeen;Buugyare wax kasheegaya u soo shaqataga dalka Finland;so;;Somali
299;Suomeen ty�h�n -esite;Muutto Suomeen;Broschyren Jobba i Finland;sv;https://www.te-palvelut.fi/documents/43002293/43009923/jobba_i_finland_-_guide_f%C3%B6r_arbetstagare_och_f%C3%B6retagare_som_%C3%A4r_intresserade_av_finland_112014_pdf.pdf/5cbd74b4-0f46-a591-d84d-1d6ab8031f75?t=1616532755685;Ruotsi
299;Suomeen ty�h�n -esite;Muutto Suomeen;Finlandiya'da �al�?maya Bro?�r�;tr;;Turkki
299;Suomeen ty�h�n -esite;Muutto Suomeen;??????;zh;;Kiina
300;Tietoa Pohjoismaiden kansalaisille;Muutto Suomeen;??????? ??????? ??? ??????;ar;;Arabi
300;Tietoa Pohjoismaiden kansalaisille;Muutto Suomeen;Information for citizens of the Nordic countries;en;https://www.norden.org/en;Englanti
300;Tietoa Pohjoismaiden kansalaisille;Muutto Suomeen;Informaci�n para ciudadanos de los Pa�ses N�rdicos;es;;Espanja
300;Tietoa Pohjoismaiden kansalaisille;Muutto Suomeen;Teavet P�hjamaade kodanikele;et;;Eesti
300;Tietoa Pohjoismaiden kansalaisille;Muutto Suomeen;???????? ???? ????? ??????? ???????????;fa;;Persia
300;Tietoa Pohjoismaiden kansalaisille;Muutto Suomeen;Informations pour les citoyens des pays nordiques;fr;;Ranska
300;Tietoa Pohjoismaiden kansalaisille;Muutto Suomeen;?????????? ??? ??????? ???????? ?????;ru;;Ven�j�
300;Tietoa Pohjoismaiden kansalaisille;Muutto Suomeen;Macluumaad loogu talagalay muwaadiniinta Waqooyiga Yurub ;so;;Somali
300;Tietoa Pohjoismaiden kansalaisille;Muutto Suomeen;Information f�r nordiska medborgare;sv;https://www.norden.org/sv;Ruotsi
300;Tietoa Pohjoismaiden kansalaisille;Muutto Suomeen;?skandinavya �lkeleri vatanda?lar� i�in bilgiler;tr;;Turkki
300;Tietoa Pohjoismaiden kansalaisille;Muutto Suomeen;???????????;zh;;Kiina
301;Vaalit Suomessa;Asettuminen Suomeen;?????????? ?? ??????;ar;;Arabi
301;Vaalit Suomessa;Asettuminen Suomeen;Elections in Finland;en;https://vaalit.fi/en/frontpage;Englanti
301;Vaalit Suomessa;Asettuminen Suomeen;Elecciones en Finlandia;es;;Espanja
301;Vaalit Suomessa;Asettuminen Suomeen;Valimised Soomes;et;;Eesti
301;Vaalit Suomessa;Asettuminen Suomeen;???????? ?? ??????;fa;;Persia
301;Vaalit Suomessa;Asettuminen Suomeen;Les �lections en Finlande;fr;;Ranska
301;Vaalit Suomessa;Asettuminen Suomeen;?????? ? ?????????;ru;;Ven�j�
301;Vaalit Suomessa;Asettuminen Suomeen;Doorashooyinka Finland;so;;Somali
301;Vaalit Suomessa;Asettuminen Suomeen;Val i Finland;sv;https://vaalit.fi/sv/framsida;Ruotsi
301;Vaalit Suomessa;Asettuminen Suomeen;Finlandiya'da se�imler;tr;;Turkki
301;Vaalit Suomessa;Asettuminen Suomeen;?????;zh;;Kiina
306;Tervetuloa Suomeen -opas;Asettuminen Suomeen;???? ????? ?????? ??? ?? ??????;ar;https://julkaisut.valtioneuvosto.fi/bitstream/handle/10024/161195/MEAEguide_20_2018_TervetuloaSuomeen_Arabia_PDFUA.pdf?sequence=1&isAllowed=y;Arabi
306;Tervetuloa Suomeen -opas;Asettuminen Suomeen;Guide Welcome to Finland;en;https://julkaisut.valtioneuvosto.fi/bitstream/handle/10024/161193/MEAEguide_18_2018_TervetuloaSuomeen_Eng_PDFUA.pdf?sequence=1&isAllowed=y;Englanti
306;Tervetuloa Suomeen -opas;Asettuminen Suomeen;Gu�a Bienvenido/a a Finlandia;es;https://julkaisut.valtioneuvosto.fi/bitstream/handle/10024/161196/MEAEguide_21_2018_TervetuloaSuomeen_Espanja_PDFUA.pdf?sequence=1&isAllowed=y;Espanja
306;Tervetuloa Suomeen -opas;Asettuminen Suomeen;Juhend Tere tulemast Soome;et;https://julkaisut.valtioneuvosto.fi/bitstream/handle/10024/161202/MEAEguide_27_2018_Tervetuloa_Suomeen_Viro_PDFUA.pdf?sequence=1&isAllowed=y;Eesti
306;Tervetuloa Suomeen -opas;Asettuminen Suomeen;?? ?????? ??? ????? - ?????? ??????;fa;https://julkaisut.valtioneuvosto.fi/bitstream/handle/10024/161198/MEAEguide_23_2018_TervetuloaSuomeen_Persia_PDFUA.pdf?sequence=1&isAllowed=y;Persia
306;Tervetuloa Suomeen -opas;Asettuminen Suomeen;Guide Bienvenue en Finlande;fr;https://julkaisut.valtioneuvosto.fi/bitstream/handle/10024/161199/MEAEguide_24_2018_TervetuloaSuomeen_Ranska_PDFUA.pdf?sequence=1&isAllowed=y;Ranska
306;Tervetuloa Suomeen -opas;Asettuminen Suomeen;?????????? ????? ?????????? ? ?????????;ru;https://julkaisut.valtioneuvosto.fi/bitstream/handle/10024/161194/MEAEguide_19_2018_TervetuloaSuomeen_venaja_PDFUA.pdf?sequence=1&isAllowed=y;Ven�j�
306;Tervetuloa Suomeen -opas;Asettuminen Suomeen;Buugga Ku soo dhowow Finland;so;https://julkaisut.valtioneuvosto.fi/bitstream/handle/10024/161200/MEAEguide_25_2018_TervetuloaSuomeen_Somali_PDFUA.pdf?sequence=1&isAllowed=y;Somali
306;Tervetuloa Suomeen -opas;Asettuminen Suomeen;Guiden V�lkommen till Finland;sv;https://julkaisut.valtioneuvosto.fi/bitstream/handle/10024/161192/ANMguide_17_2018_TervetuloaSuomeen_SV_PDFUA.pdf?sequence=1&isAllowed=y;Ruotsi
306;Tervetuloa Suomeen -opas;Asettuminen Suomeen;Finlandiya?ya ho?geldiniz;tr;https://julkaisut.valtioneuvosto.fi/bitstream/handle/10024/161201/MEAEguide_26_2018_TervetuloaSuomeen_Turkki_PDFUA.pdf?sequence=1&isAllowed=y;Turkki
306;Tervetuloa Suomeen -opas;Asettuminen Suomeen;?????-??;zh;https://julkaisut.valtioneuvosto.fi/bitstream/handle/10024/161197/MEAEguide_22_2018_TervetuloaSuomeen_Kiina_PDFUA.pdf?sequence=1&isAllowed=y;Kiina
308;Tietoa kotoutumisesta;Asettuminen Suomeen;??????? ?? ???????;ar;;Arabi
308;Tietoa kotoutumisesta;Asettuminen Suomeen;Information on integration;en;https://www.te-palvelut.fi;Englanti
308;Tietoa kotoutumisesta;Asettuminen Suomeen;Informaci�n sobre la integraci�n;es;;Espanja
308;Tietoa kotoutumisesta;Asettuminen Suomeen;Teavet integreerumise kohta;et;;Eesti
308;Tietoa kotoutumisesta;Asettuminen Suomeen;???????? ?????? ??? ????;fa;;Persia
308;Tietoa kotoutumisesta;Asettuminen Suomeen;Informations sur l'int�gration;fr;;Ranska
308;Tietoa kotoutumisesta;Asettuminen Suomeen;?????????? ?? ??????????;ru;;Ven�j�
308;Tietoa kotoutumisesta;Asettuminen Suomeen;Macluumaadka la-qabsashada;so;;Somali
308;Tietoa kotoutumisesta;Asettuminen Suomeen;Information om integration;sv;https://www.te-palvelut.fi;Ruotsi
308;Tietoa kotoutumisesta;Asettuminen Suomeen;Uyum sa?lama hakk�nda;tr;;Turkki
308;Tietoa kotoutumisesta;Asettuminen Suomeen;??????;zh;;Kiina
309;Neuvontapalvelu Pohjoismaan kansalaisille;Muutto Suomeen;????? ?????????? ??????? ??? ??????;ar;;Arabi
309;Neuvontapalvelu Pohjoismaan kansalaisille;Muutto Suomeen;Counselling services for citizens of the Nordic countries;en;https://www.norden.org/en/ask?arrival-method=webb&asuinmaa=fi&status=obesvarad&vastauskieli=fi;Englanti
309;Neuvontapalvelu Pohjoismaan kansalaisille;Muutto Suomeen;Servicio de asesoramiento para ciudadanos de los Pa�ses N�rdicos;es;;Espanja
309;Neuvontapalvelu Pohjoismaan kansalaisille;Muutto Suomeen;N�ustamisteenus P�hjamaade kodanikele;et;;Eesti
309;Neuvontapalvelu Pohjoismaan kansalaisille;Muutto Suomeen;????? ???????? ? ??????? ?? ????? ??????? ???????????;fa;;Persia
309;Neuvontapalvelu Pohjoismaan kansalaisille;Muutto Suomeen;Service de conseil pour les citoyens des pays nordiques;fr;;Ranska
309;Neuvontapalvelu Pohjoismaan kansalaisille;Muutto Suomeen;???????????????? ?????? ??? ??????? ???????? ?????;ru;;Ven�j�
309;Neuvontapalvelu Pohjoismaan kansalaisille;Muutto Suomeen;Adeegga la-talinta ee muwaadiniinta Waqooyiga Yurub;so;;Somali
309;Neuvontapalvelu Pohjoismaan kansalaisille;Muutto Suomeen;R�dgivningstj�nst f�r nordiska medborgare;sv;https://www.norden.org/sv/fraga-info-norden;Ruotsi
309;Neuvontapalvelu Pohjoismaan kansalaisille;Muutto Suomeen;?skandinavya �lkeleri vatanda?lar� i�in dan�?manl�k hizmeti;tr;;Turkki
309;Neuvontapalvelu Pohjoismaan kansalaisille;Muutto Suomeen;?????????????;zh;;Kiina
